Артикул;Остаток;Амизян
120239;843;63.78
120232;322;68.57
120234;374;187.62
120235;358;63.78
120249;1050;48.03
120245;1510;48.03
120244;1190;48.03
120184;1888;108.3
120188;3312;62.7
120185;4544;28.85
120189;616;109.44
120209;436;30.2
120210;895;30.2
120211;1579;25.43
120207;1241;35.03
120221;3628;93.42
120222;12018;26.56
120204;936;34.41
120217;1531;30.2
120224;1172;30.2
120218;1096;30.2
120219;1229;30.2
120220;722;30.2
120212;890;27.69
120213;990;30.2
120227;1653;25.28
120226;645;39.47
120249;1050;48.03
120245;1510;48.03
