Цена_Трансазия;Артикул;Цена_Розничная
97;140307;121
60;140309;75
250;110187;313
121;150333;151
121;150334;151
81;140314;101
126;460251;158
75;790120;94
195;110188;244
19;790119;24
131;460237;164
88;140316;110
522;140305;653
522;140304;653
215;560168;269
228;560170;285
20;790121;25
97;140306;121
270;560167;338
64;140310;80
357;140302;446
219;250166;274
417;560166;521
327;560169;409
68;160106;85
99;170177;124
119;124034;149
99;170176;124
277;460239;346
40;124035;50
455;560081;569
455;560082;569
58;140308;73
55;160105;69
57;160104;71
30;380050;38
62;140301;78
101;170175;126
81;140315;101
69;460279;86
69;460280;86
69;460281;86
147;560179;184
115;790122;144
69;460278;86
81;140313;101
100;460282;125
62;140300;78
