"Характеристики";"Короткое название";;"Артикул"
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7777";"ЖОКЕЙ кофе молотый По-восточному 100 г";;110316
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7788";"LEBO Кофе молотый Extra Арабика 75 г";;110260
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7789";"AMBASSADOR Кофе молотый Adora 95 г";;110221
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7792";"ЧЕРНАЯ КАРТА Кофе молотый 100 г";;110211
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7794";"LEBO Кофе молотый Принц Лебо 100 г";;110264
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7796";"ЖОКЕЙ кофе молотый Классический 100 г";;110315
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7799";"ЖОКЕЙ кофе молотый Итальяно 100 г";;110314
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7806";"LEBO Кофе молотый для заваривания в чашке Gold Арабика 100 г";;110254
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7839";"ЧЕРНАЯ КАРТА Кофе молотый ""Темная обжарка"" 250 г";;110208
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7842";"ЧЕРНАЯ КАРТА Кофе молотый для турки 250 г";;110210
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7844";"TCHIBO Кофе молотый Gold Mokka 250 г";;110233
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7850";"EGOISTE кофе молотый Noir 100 г";;110304
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7851";"TCHIBO Кофе молотый по-восточному Gold Mokka 250 г";;110234
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7853";"ЖОКЕЙ кофе молотый Баварский шоколад 150 г";;110311
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7854";"ЧЕРНАЯ КАРТА Кофе молотый для заваривания в чашке 250 г";;114003
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7856";"LEBO Кофе молотый Extra Арабика 200 г";;110259
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7866";"ЧЕРНАЯ КАРТА Кофе молотый 250 г";;110209
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7879";"AMBASSADOR Кофе молотый Platinum 250 г";;110228
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7880";"TCHIBO Кофе молотый Exclusive 250 г";;110243
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7881";"ROBERTO TOTTI Кофе молотый Caffe Ristretto 250 г";;114006
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7896";"TCHIBO Кофе молотый Gold Selection 250 г";;110240
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7899";"TCHIBO Кофе молотый Black and White 250 г";;110247
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7946";"DAVIDOFF Кофе молотый Rich Aroma 250 г";;110249
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7947";"DAVIDOFF Кофе молотый Fine Aroma 250 г";;110251
"(Характеристики товара (Продукты))Тип товара:Кофе молотый;
(Характеристики товара (Продукты))Код товара:АМ-7969";"BUSHIDO кофе молотый в растворимом Kodo 95 г";;110300
