Артикул;Количество;Амизян
121005;2502;93.15
121006;195;184.8
121007;326;93.15
121008;59;184.8
121010;552;83.83
121011;230;93.15
121012;9;184.8
121013;514;78.88
121014;193;148.3
121015;214;93.15
121017;10;459.77
121018;1285;93.15
121019;171;184.8
121020;72;119.19
124011;31;313.68
124012;379;313.68
124013;201;202.81
124014;73;242
124015;3912;59.51
124016;169;220.38
124017;6554;59.51
124018;410;198.32
124019;327;78.55
124020;253;76.78
124021;211;198.34
124022;2956;53.56
124023;731;53.56
124024;120;216.68
124025;747;55.66
124026;219;76.78
124027;133;76.78
124028;292;76.78
124029;396;76.78
124030;589;59.51
124031;223;76.78
124032;4472;59.51
124033;313;220.38
127005;146;210.94
127006;300;78.93
127008;94;78.93
127009;126;78.93
127010;128;78.93
127011;202;78.93
